,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,118.01,118.01,111.23000000000016
1,2,118.01,118.01,112.43000000000018
2,3,127.01,127.01,112.21588235294136
3,4,129.01,129.01,113.68000000000018
4,5,129.01,127.01,112.58425742574276
5,6,129.01,127.01,113.38000000000018
6,7,130.01,130.01,112.59415841584175
7,8,130.01,129.01,113.72000000000017
8,9,130.01,129.01,112.76000000000016
9,10,130.01,129.01,114.51000000000018
10,11,130.01,129.01,112.77000000000017
11,12,130.01,129.01,113.68000000000018
12,13,130.01,129.01,112.69000000000017
13,14,130.01,129.01,113.94000000000018
14,15,130.01,129.01,113.36000000000018
15,16,130.01,129.01,114.831782178218
16,17,130.01,129.01,113.44000000000018
17,18,130.01,130.01,115.51000000000018
18,19,130.01,130.01,113.08843137254921
19,20,130.01,130.01,113.80000000000018
20,21,130.01,130.01,113.02000000000017
21,22,132.01,132.01,115.1288118811883
22,23,132.01,132.01,113.64000000000019
23,24,133.01,133.01,116.25509803921587
24,25,133.01,131.01,112.85000000000016
25,26,133.01,131.01,116.45554455445563
26,27,133.01,131.01,113.06000000000016
27,28,133.01,131.01,116.09910891089127
28,29,133.01,131.01,112.96000000000016
29,30,133.01,131.01,116.87138613861404
30,31,133.01,131.01,112.88000000000017
31,32,133.01,132.01,116.36643564356454
32,33,133.01,132.01,112.9406930693071
33,34,133.01,132.01,117.89000000000019
34,35,133.01,132.01,113.53000000000019
35,36,133.01,132.01,117.34000000000019
36,37,133.01,132.01,113.41594059405959
37,38,133.01,132.01,116.98000000000019
38,39,133.01,132.01,113.59823529411783
39,40,133.01,132.01,116.00000000000018
40,41,133.01,132.01,114.49514851485166
41,42,133.01,132.01,116.19000000000018
42,43,133.01,132.01,114.1276470588237
43,44,133.01,132.01,118.19000000000018
44,45,133.01,132.01,114.53000000000019
45,46,133.01,132.01,116.58000000000018
46,47,133.01,132.01,114.60000000000018
47,48,133.01,132.01,117.87000000000018
48,49,133.01,132.01,114.15851485148534
49,50,133.01,132.01,117.74000000000018
