,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,16.009999999999998,16.009999999999998,2.370000000000004
1,2,16.009999999999998,16.009999999999998,4.1899999999999915
2,3,16.009999999999998,16.009999999999998,4.809999999999992
3,4,16.009999999999998,16.009999999999998,2.5699999999999914
4,5,16.009999999999998,16.009999999999998,8.109999999999992
5,6,16.009999999999998,16.009999999999998,7.469999999999992
6,7,16.009999999999998,16.009999999999998,5.2699999999999925
7,8,16.009999999999998,16.009999999999998,2.2300000000000044
8,9,29.009999999999998,29.009999999999998,2.1900000000000044
9,10,29.009999999999998,16.009999999999998,1.7900000000000045
10,11,29.009999999999998,29.009999999999998,4.369999999999991
11,12,29.009999999999998,29.009999999999998,1.6900000000000046
12,13,29.009999999999998,29.009999999999998,6.609999999999992
13,14,29.009999999999998,29.009999999999998,3.3099999999999916
14,15,34.01,34.01,5.149999999999992
15,16,34.01,34.01,3.089999999999992
16,17,34.01,34.01,8.329999999999991
17,18,34.01,34.01,10.349999999999993
18,19,34.01,34.01,10.929999999999993
19,20,34.01,34.01,7.729999999999992
20,21,34.01,34.01,14.649999999999993
21,22,34.01,34.01,11.249999999999993
22,23,34.01,34.01,10.609999999999992
23,24,34.01,34.01,7.749999999999992
24,25,34.01,34.01,19.089999999999993
25,26,34.01,34.01,10.529999999999994
26,27,34.01,34.01,15.209999999999994
27,28,34.01,34.01,11.829999999999993
28,29,34.01,34.01,2.6899999999999915
29,30,34.01,34.01,10.989999999999993
30,31,34.01,34.01,12.429999999999993
31,32,34.01,34.01,6.369999999999992
32,33,34.01,34.01,9.149999999999991
33,34,34.01,34.01,7.929999999999992
34,35,34.01,34.01,6.789999999999992
35,36,34.01,34.01,9.769999999999992
36,37,34.01,34.01,9.789999999999992
37,38,34.01,34.01,9.509999999999993
38,39,34.01,34.01,11.489999999999993
39,40,34.01,34.01,13.049999999999994
40,41,34.01,34.01,9.729999999999992
41,42,34.01,34.01,5.089999999999992
42,43,34.01,34.01,7.989999999999992
43,44,34.01,34.01,7.609999999999992
44,45,34.01,34.01,12.449999999999994
45,46,34.01,34.01,12.269999999999992
46,47,34.01,34.01,6.889999999999992
47,48,34.01,34.01,5.929999999999992
48,49,34.01,34.01,12.389999999999993
49,50,34.01,34.01,12.629999999999994
