,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,115.01,115.01,111.34000000000016
1,2,116.01,116.01,111.55455445544573
2,3,116.01,116.01,112.11377358490584
3,4,117.01,117.01,112.3498058252429
4,5,117.01,116.01,112.02923076923095
5,6,117.01,117.01,112.56238095238113
6,7,117.01,117.01,112.34653846153864
7,8,120.01,120.01,112.63857142857161
8,9,120.01,120.01,112.33692307692326
9,10,120.01,120.01,112.89888888888908
10,11,120.01,120.01,112.45230769230787
11,12,120.01,120.01,113.26925925925944
12,13,120.01,120.01,112.42346153846172
13,14,120.01,120.01,113.18757009345813
14,15,120.01,120.01,112.60047619047637
15,16,129.01,129.01,113.63385321100934
16,17,129.01,128.01,112.90523809523826
17,18,129.01,129.01,113.73477064220201
18,19,129.01,129.01,112.85761904761921
19,20,129.01,128.01,113.92743119266072
20,21,129.01,129.01,114.85905660377377
21,22,131.01,131.01,115.01000000000019
22,23,131.01,131.01,113.39235294117665
23,24,131.01,131.01,117.14861386138632
24,25,131.01,131.01,112.87274509803937
25,26,131.01,131.01,117.95059405940613
26,27,131.01,130.01,113.01980392156881
27,28,132.01,132.01,118.76247524752493
28,29,132.01,132.01,115.58843137254921
29,30,132.01,132.01,114.81198019801998
30,31,134.01,134.01,118.06940594059424
31,32,134.01,132.01,116.49514851485166
32,33,138.01,138.01,117.7228712871289
33,34,138.01,131.01,114.50019607843156
34,35,138.01,132.01,118.11891089108929
35,36,138.01,131.01,119.27732673267344
36,37,138.01,132.01,115.4357425742576
37,38,138.01,132.01,120.15851485148534
38,39,138.01,132.01,116.68326732673286
39,40,138.01,132.01,120.42176470588254
40,41,138.01,133.01,119.15851485148534
41,42,138.01,133.01,116.2179207920794
42,43,138.01,132.01,119.45554455445563
43,44,138.01,133.01,116.88128712871305
44,45,138.01,135.01,117.13871287128731
45,46,138.01,133.01,117.54465346534671
46,47,138.01,133.01,116.48524752475265
47,48,138.01,132.01,120.08843137254921
48,49,138.01,133.01,117.00019607843156
49,50,138.01,132.01,114.32683168316849
