,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,17,17,11.15
1,2,18,18,11.65
2,3,31,31,12.35
3,4,31,23,11.37
4,5,31,23,11.57
5,6,31,31,11.68
6,7,31,31,12.2
7,8,31,31,11.4
8,9,31,24,11.67
9,10,37,37,11.4
10,11,37,18,11.63
11,12,37,37,11.64
12,13,37,24,11.66
13,14,37,17,11.23
14,15,37,24,11.47
15,16,37,31,11.59
16,17,37,24,11.64
17,18,37,24,11.7
18,19,37,18,11.15
19,20,37,31,11.68
20,21,37,23,11.26
21,22,37,23,11.53
22,23,37,23,11.5
23,24,37,30,13.18
24,25,37,30,12.03
25,26,37,23,12.96
26,27,37,24,12.31
27,28,37,31,12.79
28,29,43,43,12.51
29,30,43,24,13.74
30,31,56,56,13.47
31,32,56,23,12.25
32,33,56,24,12.81
33,34,56,23,12.5
34,35,56,18,11.41
35,36,56,31,12.38
36,37,56,24,12.07
37,38,56,24,12.24
38,39,56,24,11.55
39,40,56,24,12.11
40,41,56,25,12.78
41,42,56,31,12.22
42,43,56,23,12.23
43,44,56,31,12.56
44,45,56,24,11.51
45,46,56,24,12.74
46,47,56,18,11.79
47,48,56,18,11.59
48,49,56,23,11.68
49,50,56,31,12.05
50,51,56,23,11.48
51,52,56,24,11.39
52,53,56,17,11.09
53,54,56,31,12.03
54,55,56,30,12.82
55,56,56,24,11.6
56,57,56,24,12.44
57,58,56,24,12.47
58,59,56,23,11.39
59,60,56,28,13.03
60,61,56,24,11.95
61,62,56,24,12.93
62,63,56,24,11.97
63,64,56,31,11.48
64,65,56,23,11.34
65,66,56,18,11.16
66,67,56,31,12.55
67,68,56,29,11.85
68,69,56,30,12.18
69,70,56,31,13.19
70,71,56,24,12.49
71,72,56,31,12.81
72,73,56,30,12.56
73,74,56,30,11.57
74,75,56,23,12.43
75,76,56,18,11.35
76,77,56,30,13.37
77,78,56,26,12.19
78,79,56,38,15.81
79,80,56,35,14.17
80,81,56,37,16.41
81,82,56,31,12.09
82,83,56,38,15.2
83,84,56,30,13.4
84,85,56,31,11.64
85,86,56,31,11.62
86,87,56,25,11.99
87,88,56,31,12.36
88,89,56,43,12.25
89,90,56,25,11.4
90,91,56,30,12.56
91,92,56,28,12.86
92,93,56,33,12.37
93,94,56,33,13.87
94,95,56,32,11.57
95,96,56,31,13.61
96,97,56,37,13.89
97,98,56,37,13.67
98,99,56,31,11.81
99,100,56,25,12.28
