,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,0.01,0.01,0.010000000000000004
1,2,0.01,0.01,0.010000000000000004
2,3,0.01,0.01,0.010000000000000004
3,4,0.01,0.01,0.010000000000000004
4,5,0.01,0.01,0.010000000000000004
5,6,0.01,0.01,0.010000000000000004
6,7,0.01,0.01,0.010000000000000004
7,8,0.01,0.01,0.010000000000000004
8,9,0.01,0.01,0.010000000000000004
9,10,0.01,0.01,0.010000000000000004
10,11,0.01,0.01,0.010000000000000004
11,12,0.01,0.01,0.010000000000000004
12,13,0.01,0.01,0.010000000000000004
13,14,0.01,0.01,0.010000000000000004
14,15,0.01,0.01,0.010000000000000004
15,16,0.01,0.01,0.010000000000000004
16,17,0.01,0.01,0.010000000000000004
17,18,0.01,0.01,0.010000000000000004
18,19,0.01,0.01,0.010000000000000004
19,20,0.01,0.01,0.010000000000000004
20,21,0.01,0.01,0.010000000000000004
21,22,0.01,0.01,0.010000000000000004
22,23,0.01,0.01,0.010000000000000004
23,24,0.01,0.01,0.010000000000000004
24,25,0.01,0.01,0.010000000000000004
25,26,0.01,0.01,0.010000000000000004
26,27,0.01,0.01,0.010000000000000004
27,28,0.01,0.01,0.010000000000000004
28,29,0.01,0.01,0.010000000000000004
29,30,0.01,0.01,0.004200000000000001
