,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,17,17,11.18
1,2,18,18,11.61
2,3,25,25,11.63
3,4,31,31,11.82
4,5,31,18,11.73
5,6,31,25,11.74
6,7,31,24,11.78
7,8,31,26,11.85
8,9,31,18,11.31
9,10,31,18,11.45
10,11,31,18,11.58
11,12,31,24,11.46
12,13,31,24,11.58
13,14,31,18,11.71
14,15,31,18,11.81
15,16,37,37,11.83
16,17,37,24,11.79
17,18,37,18,11.34
18,19,37,23,11.54
19,20,37,17,11.07
20,21,37,17,11.13
21,22,37,18,11.48
22,23,37,17,11.35
23,24,37,17,11.84
24,25,37,23,11.42
25,26,37,30,11.61
26,27,37,23,11.63
27,28,37,24,11.84
28,29,37,24,11.97
29,30,37,24,11.82
30,31,37,18,11.67
31,32,37,37,12.19
32,33,37,30,12.02
33,34,37,30,11.99
34,35,37,31,11.86
35,36,37,24,11.77
36,37,37,31,12.05
37,38,37,31,12.85
38,39,37,31,12.01
39,40,37,24,11.42
40,41,37,31,11.73
41,42,37,31,11.96
42,43,37,31,11.86
43,44,37,31,12.09
44,45,37,30,11.23
45,46,37,36,12.12
46,47,37,30,12.82
47,48,37,30,12.3
48,49,37,24,12.27
49,50,37,30,12.26
50,51,37,25,11.89
51,52,37,31,12.07
52,53,37,24,12.06
53,54,37,24,11.97
54,55,37,24,12.79
55,56,37,24,12.03
56,57,37,24,12.27
57,58,37,25,12.45
58,59,37,24,12.63
59,60,37,32,12.13
60,61,37,30,12.2
61,62,37,31,12.35
62,63,37,30,13.57
63,64,37,30,12.65
64,65,37,30,12.68
65,66,37,30,12.82
66,67,37,23,11.31
67,68,37,31,11.8
68,69,37,30,12.14
69,70,37,30,12.23
70,71,37,24,11.79
71,72,37,30,11.95
72,73,37,31,12.99
73,74,37,18,11.38
74,75,37,31,11.64
75,76,37,31,11.57
76,77,37,24,12.11
77,78,37,24,11.29
78,79,37,31,12.1
79,80,37,24,11.25
80,81,37,30,11.72
81,82,37,24,12.4
82,83,37,36,11.92
83,84,37,31,12.34
84,85,37,18,11.84
85,86,37,18,11.28
86,87,37,31,12.12
87,88,37,31,12.08
88,89,37,31,11.55
89,90,37,30,12.21
90,91,37,31,11.3
91,92,37,30,12.59
92,93,37,25,11.57
93,94,37,30,12.03
94,95,37,31,13.06
95,96,37,18,11.58
96,97,37,30,12.92
97,98,37,37,11.77
98,99,37,18,11.35
99,100,37,32,11.91
