,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,29.009999999999998,29.009999999999998,5.049999999999992
1,2,29.009999999999998,16.009999999999998,10.069999999999991
2,3,29.009999999999998,18.009999999999998,6.789999999999992
3,4,34.01,34.01,10.889999999999993
4,5,34.01,18.009999999999998,9.809999999999992
5,6,47.01,47.01,9.225686274509796
6,7,47.01,18.009999999999998,9.049215686274502
7,8,47.01,18.009999999999998,9.709999999999992
8,9,47.01,34.01,9.689999999999992
9,10,47.01,18.009999999999998,6.909999999999992
10,11,47.01,16.009999999999998,6.529999999999992
11,12,47.01,18.009999999999998,10.029999999999992
12,13,47.01,18.009999999999998,9.068823529411757
13,14,47.01,16.009999999999998,8.36294117647058
14,15,47.01,16.009999999999998,4.929999999999992
15,16,47.01,16.009999999999998,10.71588235294117
16,17,47.01,16.009999999999998,5.349999999999992
17,18,47.01,16.009999999999998,12.402156862745091
18,19,47.01,16.009999999999998,9.369999999999992
19,20,47.01,16.009999999999998,9.489999999999991
20,21,47.01,29.009999999999998,7.829999999999992
21,22,47.01,29.009999999999998,11.149999999999993
22,23,47.01,29.009999999999998,8.249999999999993
23,24,47.01,16.009999999999998,15.509999999999993
24,25,47.01,16.009999999999998,14.509999999999993
25,26,47.01,16.009999999999998,13.549999999999994
26,27,47.01,16.009999999999998,13.229999999999993
27,28,47.01,16.009999999999998,13.323725490196072
28,29,47.01,16.009999999999998,13.669999999999993
29,30,47.01,16.009999999999998,14.289999999999994
30,31,47.01,16.009999999999998,13.817692307692301
31,32,47.01,16.009999999999998,12.269999999999992
32,33,47.01,18.009999999999998,10.709999999999994
33,34,50.01,50.01,11.421764705882346
34,35,50.01,29.009999999999998,12.4413725490196
35,36,50.01,18.009999999999998,11.329999999999993
36,37,50.01,16.009999999999998,11.529999999999994
37,38,50.01,16.009999999999998,12.909999999999993
38,39,50.01,16.009999999999998,14.229999999999993
39,40,50.01,16.009999999999998,15.029230769230763
40,41,50.01,18.009999999999998,12.929999999999993
41,42,50.01,16.009999999999998,15.629999999999994
42,43,50.01,18.009999999999998,12.889999999999993
43,44,50.01,16.009999999999998,14.989999999999993
44,45,50.01,16.009999999999998,13.969999999999994
45,46,50.01,16.009999999999998,15.696274509803915
46,47,50.01,16.009999999999998,14.225686274509798
47,48,50.01,16.009999999999998,15.369999999999994
48,49,50.01,16.009999999999998,13.769999999999992
49,50,50.01,16.009999999999998,14.049215686274502
