,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,0.01,0.01,0.010000000000000004
1,2,0.01,0.01,0.010000000000000004
2,3,0.01,0.01,0.010000000000000004
3,4,0.01,0.01,0.010000000000000004
4,5,0.01,0.01,0.010000000000000004
5,6,0.01,0.01,0.010000000000000004
6,7,0.01,0.01,0.010000000000000004
7,8,0.01,0.01,0.010000000000000004
8,9,0.01,0.01,0.010000000000000004
9,10,0.01,0.01,0.010000000000000004
10,11,0.01,0.01,0.010000000000000004
11,12,0.01,0.01,0.010000000000000004
12,13,0.01,0.01,0.010000000000000004
13,14,0.01,0.01,0.010000000000000004
14,15,0.01,0.01,0.010000000000000004
15,16,0.01,0.01,0.010000000000000004
16,17,0.01,0.01,0.010000000000000004
17,18,0.01,0.01,0.0018
