,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,309,309,80.42
1,2,309,307,120.84
2,3,319,319,137.80392156862746
3,4,319,307,119.38461538461539
4,5,319,306,127.82
5,6,319,307,131.98039215686273
6,7,319,307,150.66037735849056
7,8,319,308,137.34615384615384
8,9,319,306,120.88
9,10,319,306,170.8679245283019
10,11,319,309,136.24
11,12,319,309,157.47058823529412
12,13,319,309,143.82
13,14,319,309,156.74
14,15,319,309,137.01960784313727
15,16,319,310,151.76
16,17,338,338,151.28846153846155
17,18,339,339,188.2
18,19,339,339,167.36
19,20,339,339,188.86
20,21,339,339,161.7
21,22,339,339,188.24
22,23,339,338,152.5
23,24,339,339,184.98039215686273
24,25,339,339,155.18
25,26,443,443,195.86274509803923
26,27,443,443,189.88235294117646
27,28,444,444,240
28,29,444,441,182.01960784313727
29,30,444,442,238.84313725490196
30,31,444,443,187.9
31,32,444,443,210.28
32,33,444,339,161.78
33,34,444,339,211.4
34,35,444,347,180.13725490196077
35,36,444,388,225.2941176470588
36,37,444,388,211.84615384615384
37,38,444,388,261.3076923076923
38,39,444,388,200.32692307692307
39,40,444,389,239.6346153846154
40,41,444,389,193.5
41,42,444,412,245.82692307692307
42,43,444,411,219.5
43,44,460,460,216.40384615384616
44,45,474,474,199.94
45,46,474,471,263.078431372549
46,47,474,473,223.3921568627451
47,48,474,469,254.98
48,49,474,464,217.42
49,50,474,467,269.4117647058824
