,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,127.01,127.01,122.10000000000018
1,2,135.01,135.01,122.77000000000018
2,3,135.01,134.01,122.40000000000018
3,4,135.01,128.01,122.57000000000018
4,5,136.01,136.01,122.19000000000018
5,6,136.01,132.01,122.11000000000018
6,7,136.01,126.01,122.46000000000018
7,8,136.01,136.01,122.43000000000018
8,9,136.01,126.01,121.94000000000018
9,10,136.01,134.01,121.72000000000018
10,11,136.01,136.01,121.81000000000019
11,12,136.01,125.01,121.69000000000018
12,13,136.01,133.01,121.93000000000018
13,14,136.01,127.01,122.31000000000019
14,15,136.01,126.01,121.79000000000018
15,16,136.01,132.01,122.26000000000018
16,17,136.01,126.01,121.97000000000018
17,18,136.01,127.01,121.90000000000018
18,19,136.01,133.01,121.66000000000018
19,20,136.01,131.01,122.13000000000018
20,21,136.01,135.01,122.89000000000019
21,22,136.01,127.01,122.26000000000018
22,23,136.01,129.01,122.38000000000018
23,24,136.01,133.01,122.74000000000018
24,25,136.01,134.01,122.40000000000018
25,26,136.01,134.01,122.64000000000019
26,27,136.01,135.01,122.50000000000018
27,28,136.01,136.01,122.53000000000019
28,29,136.01,134.01,121.86000000000018
29,30,136.01,136.01,122.11000000000018
30,31,136.01,127.01,122.01000000000018
31,32,136.01,135.01,122.39000000000019
32,33,136.01,133.01,122.86000000000018
33,34,136.01,127.01,122.47000000000018
34,35,136.01,135.01,122.68000000000018
35,36,136.01,135.01,122.49000000000018
36,37,136.01,136.01,122.75000000000018
37,38,136.01,126.01,121.41000000000018
38,39,136.01,135.01,122.72000000000018
39,40,136.01,132.01,121.98000000000019
40,41,136.01,133.01,122.26000000000018
41,42,136.01,136.01,122.22000000000018
42,43,136.01,134.01,121.86000000000018
43,44,136.01,133.01,122.65000000000018
44,45,136.01,135.01,122.41000000000018
45,46,136.01,132.01,122.61000000000018
46,47,136.01,133.01,122.20000000000019
47,48,136.01,133.01,122.49000000000018
48,49,136.01,134.01,122.46000000000018
49,50,136.01,126.01,122.39000000000019
