,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,32,32,13.54
1,2,26,26,13.2
2,3,31,31,13.37
3,4,29,29,13.63
4,5,31,31,12.63
5,6,30,30,14.01
6,7,32,32,13.49
7,8,38,38,13.59
8,9,30,30,13.6
9,10,34,34,13.67
10,11,34,34,14.71
11,12,33,33,14.85
12,13,37,37,13.64
13,14,35,35,14.59
14,15,29,29,14.11
15,16,46,46,13.79
16,17,26,26,13.39
17,18,26,26,13.27
18,19,47,47,13.16
19,20,43,43,14.92
20,21,47,47,13.86
21,22,39,39,14.59
22,23,39,39,14.07
23,24,41,41,14.69
24,25,58,58,15.44
25,26,43,43,13.4
26,27,50,50,13.31
27,28,40,40,13.96
28,29,38,38,13.63
29,30,33,33,13.48
30,31,46,46,14.18
31,32,30,30,12.53
32,33,25,25,13.14
33,34,45,45,12.8
34,35,45,45,15.61
35,36,25,25,14.27
36,37,40,40,14.61
37,38,42,42,14.22
38,39,32,32,13.26
39,40,25,25,13.49
40,41,31,31,13.58
41,42,30,30,13.21
42,43,40,40,13.39
43,44,36,36,13.46
44,45,43,43,13.86
45,46,31,31,13.42
46,47,31,31,13.46
47,48,48,48,14.54
48,49,25,25,12.9
49,50,37,37,13.6
50,51,25,25,13.48
51,52,36,36,13.24
52,53,37,37,12.58
53,54,44,44,14.42
54,55,44,44,13.51
55,56,36,36,12.97
56,57,37,37,13.22
57,58,24,24,12.61
58,59,24,24,12.28
59,60,37,37,12.92
60,61,30,30,13.04
61,62,43,43,13.41
62,63,24,24,12.74
63,64,38,38,14.23
64,65,37,37,13.64
65,66,25,25,12.57
66,67,43,43,13.48
67,68,31,31,13.16
68,69,43,43,15
69,70,52,52,14.84
70,71,29,29,13.69
71,72,38,38,14.39
72,73,39,39,13.88
73,74,46,46,15.45
74,75,33,33,13.8
75,76,42,42,15
76,77,31,31,12.82
77,78,50,50,13.39
78,79,31,31,13.35
79,80,36,36,13.28
80,81,36,36,13.94
81,82,31,31,13.74
82,83,27,27,13.94
83,84,33,33,13.91
84,85,25,25,13.16
85,86,51,51,13.43
86,87,26,26,13.44
87,88,37,37,13.19
88,89,43,43,13.72
89,90,30,30,13.08
90,91,30,30,13.72
91,92,30,30,13.3
92,93,37,37,12.89
93,94,30,30,13.82
94,95,36,36,12.64
95,96,37,37,13.44
96,97,37,37,12.87
97,98,24,24,12.85
98,99,31,31,13.33
99,100,30,30,12.81
