,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,8.01,8.01,8.009999999999994
1,2,8.01,8.01,8.009999999999994
2,3,8.01,8.01,8.009999999999994
3,4,8.01,8.01,8.009999999999994
4,5,8.01,8.01,8.009999999999994
5,6,8.01,8.01,8.009999999999994
6,7,8.01,8.01,8.009999999999994
7,8,8.01,8.01,8.009999999999994
8,9,8.01,8.01,8.009999999999994
9,10,8.01,8.01,8.009999999999994
10,11,8.01,8.01,8.009999999999994
11,12,8.01,8.01,8.009999999999994
12,13,8.01,8.01,8.009999999999994
13,14,8.01,8.01,8.009999999999994
14,15,8.01,8.01,8.009999999999994
15,16,8.01,8.01,8.009999999999994
16,17,8.01,8.01,8.009999999999994
17,18,8.01,8.01,8.009999999999994
18,19,8.01,8.01,8.009999999999994
19,20,8.01,8.01,8.009999999999994
20,21,8.01,8.01,8.009999999999994
21,22,8.01,8.01,8.009999999999994
22,23,8.01,8.01,8.009999999999994
23,24,8.01,8.01,8.009999999999994
24,25,8.01,8.01,8.009999999999994
25,26,8.01,8.01,8.009999999999994
26,27,8.01,8.01,8.009999999999994
27,28,8.01,8.01,8.009999999999994
28,29,8.01,8.01,8.009999999999994
29,30,8.01,8.01,8.009999999999994
30,31,8.01,8.01,8.009999999999994
31,32,8.01,8.01,8.009999999999994
32,33,8.01,8.01,8.009999999999994
33,34,8.01,8.01,8.009999999999994
34,35,8.01,8.01,8.009999999999994
35,36,8.01,8.01,8.009999999999994
36,37,8.01,8.01,8.009999999999994
37,38,8.01,8.01,8.009999999999994
38,39,8.01,8.01,7.5293999999999945
