,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,33,33,11.83
1,2,51,51,14.04
2,3,65,65,12.95
3,4,49,49,13.38
4,5,49,49,12.76
5,6,34,34,11.99
6,7,37,37,12.48
7,8,32,32,11.37
8,9,36,36,11.91
9,10,49,49,12.31
10,11,50,50,13.04
11,12,57,57,12.43
12,13,38,38,13.12
13,14,66,66,14.89
14,15,58,58,12.86
15,16,54,54,14
16,17,52,52,12.33
17,18,63,63,12.93
18,19,51,51,13.72
19,20,59,59,13.03
20,21,75,75,14.29
21,22,49,49,12.38
22,23,45,45,12.53
23,24,37,37,12.05
24,25,51,51,13.19
25,26,32,32,11.73
26,27,33,33,11.72
27,28,47,47,12.43
28,29,34,34,12.62
29,30,55,55,13.65
30,31,37,37,12.96
31,32,48,48,12.88
32,33,61,61,13.19
33,34,59,59,14.52
34,35,50,50,12.31
35,36,68,68,13.18
36,37,45,45,12.93
37,38,36,36,11.76
38,39,37,37,12.42
39,40,50,50,13.42
40,41,32,32,11.94
41,42,46,46,11.64
42,43,34,34,11.93
43,44,50,50,13.01
44,45,47,47,12.05
45,46,48,48,11.55
46,47,46,46,12.06
47,48,47,47,12.39
48,49,48,48,12
49,50,34,34,12.96
50,51,72,72,13.69
51,52,54,54,12.46
52,53,58,58,12.37
53,54,45,45,11.09
54,55,65,65,12.08
55,56,34,34,11.39
56,57,51,51,12.54
57,58,50,50,12.91
58,59,53,53,14.98
59,60,35,35,13.54
60,61,33,33,12.08
61,62,39,39,13.68
62,63,60,60,14.97
63,64,94,94,13
64,65,57,57,13.61
65,66,64,64,12.41
66,67,34,34,13.09
67,68,43,43,12.88
68,69,43,43,14.18
69,70,42,42,13.27
70,71,56,56,12.57
71,72,52,52,13
72,73,37,37,12.72
73,74,27,27,10.46
74,75,54,54,12.78
75,76,39,39,12.47
76,77,52,52,12.39
77,78,41,41,12.05
78,79,38,38,12.92
79,80,33,33,11.15
80,81,50,50,12.56
81,82,30,30,11.47
82,83,57,57,11.94
83,84,54,54,12.83
84,85,30,30,11.16
85,86,34,34,12.74
86,87,61,61,11.82
87,88,52,52,12.3
88,89,51,51,12.65
89,90,39,39,13.13
90,91,31,31,11.13
91,92,47,47,10.86
92,93,70,70,15.78
93,94,64,64,15.09
94,95,61,61,13.74
95,96,59,59,15.13
96,97,48,48,13.97
97,98,35,35,12.13
98,99,37,37,11.31
99,100,46,46,11.99
