,Iteration,Highest Network Fitness,Iteration Highest Network Fitness,Average Network Fitness
0,1,48,48,35.36
1,2,48,48,35.09615384615385
2,3,165,165,41.84
3,4,165,48,34.88235294117647
4,5,165,104,39.08
5,6,165,94,39.04
6,7,165,116,38.7
7,8,165,52,35.88235294117647
8,9,165,48,35.84
9,10,165,49,36.75471698113208
10,11,165,93,38.38
11,12,165,92,37.19607843137255
12,13,165,124,40
13,14,165,50,35.52
14,15,165,49,36.36
15,16,165,49,35.6
16,17,165,48,34.90196078431372
17,18,165,149,41.8
18,19,165,64,35.5
19,20,165,117,39.15686274509804
20,21,165,103,40.431372549019606
21,22,165,64,34.7
22,23,165,128,37.627450980392155
23,24,165,107,36.86
24,25,165,78,37.06
25,26,165,50,34.4
26,27,165,107,36.8
27,28,165,127,41.431372549019606
28,29,165,127,40.88
29,30,165,117,38.6
30,31,165,162,39.64
31,32,165,90,36.1
32,33,165,103,37.88
33,34,165,126,38.32
34,35,165,155,38.36
35,36,165,53,34.88
36,37,165,48,35.58
37,38,165,131,38.4
38,39,165,114,36.46
39,40,165,83,37.42
40,41,165,106,37.98
41,42,165,48,36.52
42,43,165,106,36.28
43,44,165,159,40.82
44,45,165,146,41.6
45,46,165,120,38.88
46,47,165,118,41.4
47,48,165,49,40.64
48,49,165,52,36.14
49,50,165,48,37
